round	strategy	train_score	val_score	train_return	val_return	train_drawdown	val_drawdown	status
0	双均线交叉(EMA20/60)基线	-	-	-	-	-	-	基线（新评分体系：score=sharpe×(1+return%)）
21	[DeepSeek(t=0.5)] 双均线交叉 + RSI过滤
    
    1. 计算EMA20和EMA60，金叉做多，死叉做空
    2. 加入R	-0.2738	-0.7298	-85.29%	-6.86%	86.36%	18.25%	回滚
22	[DeepSeek(t=0.95)] strategy.py — 改进版双均线交叉策略	-0.2628	2.2373	-51.7%	17.16%	57.05%	12.25%	保留✔
23	[MiniMax(t=0.95)] 理由：当前最佳策略使用成交量确认（val_score=2.2373），但仓位固定±0.8。	-0.2116	2.3053	-60.03%	21.26%	65.7%	15.1%	保留✔
24	[DeepSeek(t=0.95)] 双均线交叉 + 成交量确认 + ATR动态仓位 + 资金费率过滤策略	-0.2116	2.2536	-60.03%	20.64%	65.7%	15.11%	回滚
25	[DeepSeek(t=0.95)] 理由：历史最佳策略（val_score=2.3053）使用固定EMA20/60，但在不同市场波动下表现不稳定。	-0.2677	2.3479	-52.91%	17.97%	57.05%	12.25%	保留✔
26	[MiniMax(t=0.5)] 改进方向：当前最佳策略（val_score=2.3479）使用for循环导致代码冗长。	-0.2652	2.2132	-52.44%	16.99%	57.05%	12.25%	回滚
